FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry
5,341,0.92989,2014-09-12
5,383,1.16236,2014-09-12
5,415,2.32472,2014-09-12
5,502462,6.04,2012-10-24
16,341,0.63824,2014-01-17
17,341,0.86649,2014-01-17
55,502468,0.9,2012-08-14
56,866,0.15,2014-01-28
92,284,1.135,2013-06-24
118,284,1.135,2013-06-24
179,341,0.43958,2014-04-28
198,379,0.58835,2014-05-01
198,1005,0.001,2014-05-01
198,502517,0.08825,2014-05-01
198,502599,0.02942,2014-05-01
232,49,0.1681,2015-03-11
283,341,0.467,2015-03-09
283,383,0.5838,2015-03-09
283,385,0.07,2015-03-09
285,341,0.4615,2015-03-11
285,383,0.5768,2015-03-11
285,385,0.069,2015-03-11
286,341,0.7464,2015-03-11
286,383,0.933,2015-03-11
286,428,0.2239,2015-03-11
286,640,0.4478,2015-03-11
287,341,0.455,2015-03-11
287,383,0.5687,2015-03-11
287,385,0.068,2015-03-11
291,341,0.3612,2015-03-11
291,383,0.4515,2015-03-11
291,385,0.054,2015-03-11
293,341,0.4291,2015-03-11
293,383,0.5364,2015-03-11
293,385,0.0644,2015-03-11
394,341,0.3725,2015-03-11
394,383,0.4656,2015-03-11
394,385,0.0559,2015-03-11
646,1496,0.75,2012-08-14
647,502468,0.9,2012-08-14
649,502468,0.9,2012-08-14
654,502468,0.9,2012-08-15
655,1496,0.75,2012-08-14
657,1496,0.75,2012-08-14
659,1496,0.75,2012-08-14
662,502468,0.9,2012-08-14
663,1496,0.75,2012-08-14
664,502468,0.9,2012-08-14
665,1496,0.75,2012-08-14
667,502468,0.9,2012-08-14
669,502468,0.9,2012-08-14
670,1496,0.75,2012-08-14
672,1496,0.75,2012-08-14
676,502468,0.9,2012-08-14
680,502468,0.9,2012-08-14
683,502468,0.9,2012-08-14
692,1470,0.85,2012-06-27
693,1461,0.55,2012-06-27
694,502468,0.9,2012-08-14
695,1496,0.75,2012-08-14
700,502468,0.9,2012-08-14
701,1496,0.75,2012-08-14
