FoodID,Food Code,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,CountryCode,FoodDateOfEntry,FoodDateOfPublication,ScientificName
2786,2786,13,1,"Beef, ground, regular, raw","Boeuf, haché, régulier, cru",13309,1988-01-01,1999-03-01,
1151,1151,7,0,"Deli-meat, sandwich spread, ham","Charcuterie, garniture à sandwich, jambon",07031,1983-01-01,,
1153,1153,7,38,"Sausage, Knackwurst (knockwurst), raw","Saucisse, knackwurst (knockwurst), porc, boeuf",07038,1983-01-01,,
1154,1154,7,38,"Deli-meat, roast beef, cooked, sliced","Charcuterie, boeuf, cuit, tranché",07043,1983-01-01,,
1157,1157,7,0,"Deli-meat, olive loaf, pork","Charcuterie, pain de viande aux olives, porc",07051,1983-01-01,,
1158,1158,7,0,"Deli-meat, pastrami, turkey, sliced","Charcuterie, pastrami, dinde, tranché",07052,1983-01-01,,
1166,1166,7,0,"Deli-meat, sandwich spread, unspecified meat","Charcuterie, garniture à sandwich, viande non spécifée",07073,1983-01-01,,
1171,1171,7,0,"Deli-meat, thuringer, cervelat, beef and pork","Charcuterie, saucisson, thuringer, cervelat, boeuf et porc",07078,1983-01-01,,
1172,1172,7,38,"Deli-meat, turkey breast, cooked, sliced","Charcuterie, poitrine de dinde, cuite, tranchée",07081,1983-01-01,,
1174,1174,7,0,"Sausage, Vienna (cocktail), canned, chicken, beef and pork","Saucisse,  Vienne (cocktail), conserve, poulet, boeuf et porc",07083,1981-01-01,,
1179,1179,7,38,"Deli-meat, bologna (baloney), beef","Charcuterie, bologne, boeuf",07007,1996-01-01,,
1184,1184,7,23,"Deli-meat, Dutch loaf, old fashioned, pork and beef","Pain de viande hollandais, à l'ancienne, porc et boeuf",,1996-01-01,,
1190,1190,7,0,"Deli-meat, headcheese, pork","Charcuterie, tête fromagée, porc",07034,1996-01-01,,
1192,1192,7,0,"Liver sausage, liverwurst, pork","Saucisson de foie (liverwurst), porc",07041,1996-01-01,,
1196,1196,7,0,"Deli-meat, pickle and pimiento loaf, pork","Charcuterie, pain de viande aux piments et aux cornichons, porc",07224,1996-01-01,,
1200,1200,7,38,"Deli-meat, salami, cooked, beef","Charcuterie, salami, cuit, boeuf",07068,1996-01-01,,
1202,1202,7,0,"Deli-meat, salami, cooked, turkey","Charcuterie, salami, cuit, dinde",07070,1996-01-01,,
1207,1207,7,38,"Deli-meat, chicken, cooked, sliced","Charcuterie, poulet, cuit, tranché",07017,1996-01-01,,
1212,1212,7,38,"Deli-meat, mock chicken loaf","Charcuterie, simili poulet, pain de viande",,1996-01-01,,
1216,1216,7,38,"Deli-meat, bologna (baloney), chicken","Charcuterie, bologne, poulet",07952,1996-01-01,,
1220,1220,7,38,"Deli-meat, chicken breast, cooked, extra lean","Charcuterie, poitrine de poulet, cuite, extra maigre",07017,1983-01-01,,
3257,3257,16,0,"Beans, french, mature seeds, raw","Haricots verts, grains mûrs, crus",16022,1988-01-01,,Phaseolus vulgaris
3282,3282,16,0,"Black-eyed peas (cowpeas, crowder, southern), common, mature seeds, raw","Haricots à oeil noir (dolique), communs, grains mûrs, crus",16062,1988-01-01,,Vigna unguiculata
3283,3283,16,0,"Black-eyed peas (cowpeas, crowder, southern)), common, mature seeds, boiled","Haricots à oeil noir (dolique), communs, grains mûrs, bouillis",16063,1988-01-01,,
3373,3373,16,0,"Beans, winged (goa beans), dry, boiled, with salt","Pois, carrés, secs, bouillis, sel ajouté",16436,1988-01-01,,
5674,5674,7,38,"Sausage, Polish, smoked, pre-cooked","Saucisse, saucisson polonais, porc et boeuf, fumé",07916,2004-03-09,2002-08-01,
5677,5677,7,38,"Sausage, breakfast links or rounds, turkey, raw","Saucisse à déjeuner, en chapelet ou en galette, dinde, crue",07919,2004-03-09,2002-08-01,
5678,5678,7,0,"Sausage. Swisswurst, pork and beef, with swiss cheese, smoked","Saucisse, ""swisswurst"", porc et boeuf, avec fromage suisse, fumée",07920,2004-03-09,2002-08-01,
5680,5680,7,0,"Sausage, Bratwurst, beef and pork, smoked","Saucisse Bratwurst, boeuf et porc, fumée",07922,2004-03-09,2002-08-01,
5681,5681,7,0,"Sausage, Bratwurst, chicken, cooked","Saucisse Bratwurst, poulet, cuite",07923,2004-03-09,2002-08-01,
5682,5682,7,0,"Sausage, Bratwurst, pork, beef and turkey, smoked, reduced fat","Saucisse Bratwurst, porc, boeuf et dinde, fumée, teneur réduite en gras",07924,2004-03-09,2002-08-01,
5683,5683,7,0,"Deli-meat, pastrami, beef, extra lean, sliced","Charcuterie, pastrami, boeuf, extrai maigre, tranché",07925,2004-03-09,2002-08-01,
