FoodId,NutrientId,NutrientValue,StandardError,NumberOfObservations,NutrientSourceID,NutrientDateOfEntry
2,874,0.00,,,12,2015-02-27
2,875,0.00,,,12,2015-02-27
2,876,0.0,,,12,2015-02-27
4,874,0.00,,,12,2015-04-21
4,875,0.00,,,12,2015-04-21
5,210,0.60,0.1010,6,0,2013-05-22
5,211,0.65,0.0770,6,0,2013-05-22
5,212,0.49,0.0620,6,0,2013-05-22
5,213,0.00,0,6,0,2013-05-22
5,214,0.00,0,6,0,2013-05-22
5,287,0.00,0,6,0,2013-05-22
5,615,0.006,0.0010,12,0,2013-05-22
5,624,0.006,0.0010,12,0,2013-05-22
5,625,0.001,0,12,0,2013-05-22
5,652,0.001,0,12,0,2013-05-22
5,653,0.003,0,12,0,2013-05-22
5,654,0.003,0,12,0,2013-05-22
5,810,3.99,1.6120,6,0,2013-05-22
5,811,0.03,0.0060,3,0,2013-05-22
5,812,0.93,0.1890,3,0,2013-05-22
5,813,0.25,0.0940,3,0,2013-05-22
5,817,0.000,0,12,0,2013-05-22
5,818,0.009,0.0050,12,0,2013-05-22
5,819,0.007,0.0020,12,0,2013-05-22
5,820,0.001,0,12,0,2013-05-22
5,821,0.029,0.0050,12,0,2013-05-22
5,824,0.560,0.0790,12,0,2013-05-22
5,825,1.057,0.1730,12,0,2013-05-22
5,826,0.003,0,12,0,2013-05-22
5,829,0.010,,0,0,2013-05-22
5,833,0.000,0,12,0,2013-05-22
5,838,0.002,0.0010,12,0,2013-05-22
5,845,0.004,0,12,0,2013-05-22
5,859,0.007,,0,0,2013-05-22
5,862,24.0,,0,0,2013-05-22
5,863,0.8,,1,0,2013-05-22
5,868,0.130,,,4,2013-08-01
5,869,1.077,,,4,2013-08-01
13,260,0.00,,,12,2012-11-04
13,261,0.00,,,12,2012-11-04
13,802,0.00,,,12,2012-11-04
13,803,0.00,,,12,2012-11-04
13,810,0.00,,,12,2012-11-04
14,810,0.00,,,12,2012-11-04
39,654,0.009,0.0010,11,0,2015-01-27
39,811,0.00,0,5,0,2015-01-27
39,812,0.01,0.0100,5,0,2015-01-27
39,813,0.00,0,5,0,2015-01-27
39,817,0.078,0.0070,11,0,2015-01-27
39,818,0.626,0.0410,11,0,2015-01-27
39,819,0.169,0.0130,11,0,2015-01-27
39,820,0.000,0,11,0,2015-01-27
39,821,0.287,0.0220,11,0,2015-01-27
39,823,0.006,0.0010,11,0,2015-01-27
39,824,5.815,0.2940,11,0,2015-01-27
39,829,0.704,,0,0,2015-01-27
39,833,0.000,0,11,0,2015-01-27
39,838,0.136,0.0100,11,0,2015-01-27
39,841,0.003,0,11,0,2015-01-27
39,845,0.007,0.0010,11,0,2015-01-27
39,859,0.172,,0,0,2015-01-27
39,863,0.2,,1,0,2015-01-27
55,210,0.04,,0,0,2013-05-22
55,211,0.07,,0,0,2013-05-22
55,212,0.04,,0,0,2013-05-22
55,213,7.84,,0,0,2013-05-22
55,214,0.04,,0,0,2013-05-22
55,287,0.04,,0,0,2013-05-22
58,210,13.38,,0,0,2015-01-27
61,607,0.077,0.0010,5,0,2012-09-06
61,608,0.040,0.0020,4,0,2012-09-06
61,819,0.007,0,4,0,2012-09-05
61,833,0.004,0,5,0,2012-09-05
61,859,0.007,,0,0,2012-11-04
61,874,0.00,,,12,2015-02-19
