FoodID,Nutrient NameID,NutrientValue,StandardError,NumberOfObservations,Nutrient SourceID,Entry Date
2,837,99,,,102,2012-05-28
4,645,1.54,0,0,102,2015-04-21
4,646,0.75,0,0,102,2015-04-21
5,203,6.76,0.538,6,0,2013-05-22
5,204,2.8,0.406,12,0,2013-05-22
5,205,8.29,,0,0,2013-05-22
5,207,1.13,0.092,6,0,2013-05-22
5,208,85,,0,0,2015-04-28
5,255,81.01,3.221,4,0,2013-05-22
5,268,355,0,0,4,2015-04-28
5,269,1.74,0.163,6,0,2013-05-22
5,291,1,0.075,6,0,2013-05-22
5,301,21,1.614,12,0,2013-05-22
5,303,0.67,0.151,12,0,2013-05-22
5,304,11,0.88,12,0,2013-05-22
5,305,54,4.663,12,0,2013-05-22
5,306,124,8.601,12,0,2013-05-22
5,307,311,36.558,12,0,2013-05-22
5,309,0.32,0.045,12,0,2013-05-22
5,312,0.029,0.005,12,0,2013-05-22
5,315,0.099,0.019,12,0,2013-05-22
5,317,6.1,1.532,3,0,2013-05-22
5,319,1,0.767,3,0,2013-05-22
5,321,166,128.016,3,0,2013-05-22
5,323,0.43,0.186,3,0,2013-05-22
5,401,2,0.503,6,0,2013-05-22
5,404,0.031,0.01,6,0,2013-05-22
5,405,0.023,0.006,6,0,2013-05-22
5,406,1.468,0.209,6,0,2013-05-22
5,409,2.851,0,0,4,2013-05-22
5,410,0.26,0.061,3,0,2013-05-22
5,415,0.175,0.014,6,0,2013-05-22
5,418,0.07,0,6,0,2013-05-22
5,430,22,9.31,3,0,2013-05-22
5,501,0.083,,0,0,2013-05-22
5,502,0.268,,0,0,2013-05-22
5,503,0.28,,0,0,2013-05-22
5,504,0.502,,0,0,2013-05-22
5,505,0.475,,0,0,2013-05-22
5,506,0.163,,0,0,2013-05-22
5,507,0.077,,0,0,2013-05-22
5,508,0.252,,0,0,2013-05-22
5,509,0.218,,0,0,2013-05-22
5,510,0.307,,0,0,2013-05-22
5,511,0.424,,0,0,2013-05-22
5,512,0.184,,0,0,2013-05-22
5,513,0.356,,0,0,2013-05-22
5,514,0.604,,0,0,2013-05-22
5,515,1.38,,0,0,2013-05-22
5,516,0.237,,0,0,2013-05-22
5,517,0.355,,0,0,2013-05-22
5,518,0.252,,0,0,2013-05-22
5,601,16,1.666,6,0,2013-05-22
5,605,0.017,,0,0,2013-05-22
5,606,0.49,,0,0,2013-05-22
5,607,0.003,0,12,0,2013-05-22
5,608,0,0,12,0,2013-05-22
5,609,0.001,0,12,0,2013-05-22
5,610,0.002,0.001,12,0,2013-05-22
5,611,0.001,0,12,0,2013-05-22
5,612,0.007,0.002,12,0,2013-05-22
5,613,0.347,0.061,12,0,2013-05-22
5,614,0.11,0.015,12,0,2013-05-22
5,617,0.569,0.082,12,0,2013-05-22
5,618,1.066,0.175,12,0,2013-05-22
5,619,0.129,0.023,12,0,2013-05-22
5,620,0.016,0.002,12,0,2013-05-22
5,626,0.03,0.005,12,0,2013-05-22
5,627,0,0,12,0,2013-05-22
5,628,0.01,0.001,12,0,2013-05-22
5,629,0.002,0,12,0,2013-05-22
5,630,0.001,0,12,0,2013-05-22
5,645,0.613,,0,0,2013-05-22
5,646,1.226,,0,0,2013-05-22
5,814,19,,0,0,2013-05-22
5,831,0.128,0.023,12,0,2013-05-22
5,834,99,77.898,3,0,2013-05-22
5,835,1,0.518,3,0,2013-05-22
5,836,0,0,3,0,2013-05-22
5,837,66,15.417,3,0,2013-05-22
6,837,150,,,102,2012-05-31
14,207,0.02,,0,0,2015-01-27
16,268,2999,,0,0,2015-01-16
16,307,659,,0,0,2015-01-16
17,207,0,,1,0,2011-08-02
18,307,1146,,0,0,2015-01-16
27,307,372,,0,0,2015-01-16
27,319,2,,0,0,2015-01-16
27,607,0.007,,0,0,2015-01-16
27,608,0.002,,0,0,2015-01-16
28,307,365,,0,0,2015-01-16
29,268,1492,,0,0,2015-01-16
29,307,812,,0,0,2015-01-16
32,268,1728,,0,0,2015-01-16
32,307,714,,0,0,2015-01-16
34,307,600,,0,0,2015-01-16
35,307,710,,0,0,2015-01-16
39,203,28.42,1.94,11,0,2015-01-27
39,204,27.84,1.131,11,0,2015-01-27
39,205,13.91,,0,0,2015-01-27
39,207,7.18,0.216,11,0,2015-01-27
39,208,420,,0,0,2015-01-27
39,210,0,,1,0,2015-01-27
39,211,0,,1,0,2015-01-27
39,212,0,,1,0,2015-01-27
39,213,0,,1,0,2015-01-27
39,214,0,,1,0,2015-01-27
39,255,22.65,0.454,11,0,2015-01-27
39,268,1757,,0,0,2015-01-27
39,269,0.07,,0,0,2015-01-27
39,287,0.07,,1,0,2015-01-27
39,301,853,56.673,11,0,2015-01-27
39,303,0.49,0.073,11,0,2015-01-27
39,304,34,1.326,11,0,2015-01-27
39,305,627,32.99,11,0,2015-01-27
39,306,180,9.294,11,0,2015-01-27
39,307,1804,82.631,11,0,2015-01-27
39,309,4.2,0.309,11,0,2015-01-27
39,312,0.04,0.002,11,0,2015-01-27
39,315,0.071,0.011,11,0,2015-01-27
39,317,34.4,3.91,5,0,2015-01-27
39,319,255,,1,0,2015-01-27
39,323,0.53,0.03,5,0,2015-01-27
39,404,0.026,0.004,5,0,2015-01-27
39,405,0.358,0.028,5,0,2015-01-27
39,406,0.08,0.016,5,0,2015-01-27
39,409,6.463,0,0,4,2015-01-27
39,410,0.45,0.018,3,0,2015-01-27
39,415,0.081,0.005,5,0,2015-01-27
39,417,6,,1,0,2015-01-27
39,418,1.4,0.162,5,0,2015-01-27
39,430,1.7,,2,0,2015-01-27
39,501,0.383,,0,0,2015-01-27
39,502,1.075,,0,0,2015-01-27
39,503,1.455,,0,0,2015-01-27
39,504,2.747,,0,0,2015-01-27
39,505,2.201,,0,0,2015-01-27
39,506,0.751,,0,0,2015-01-27
39,507,0.09,,0,0,2015-01-27
39,508,1.538,,0,0,2015-01-27
39,509,1.72,,0,0,2015-01-27
39,510,1.865,,0,0,2015-01-27
39,511,1.157,,0,0,2015-01-27
39,512,0.806,,0,0,2015-01-27
39,513,0.859,,0,0,2015-01-27
39,514,1.975,,0,0,2015-01-27
39,515,6.425,,0,0,2015-01-27
39,516,0.56,,0,0,2015-01-27
39,517,3.415,,0,0,2015-01-27
39,518,1.694,,0,0,2015-01-27
39,601,86,5.26,5,0,2015-01-27
39,605,0.876,,0,0,2015-01-27
39,606,15.371,,0,0,2015-01-27
39,607,0.493,0.039,11,0,2015-01-27
39,608,0.422,0.034,11,0,2015-01-27
39,609,0.265,0.021,11,0,2015-01-27
39,610,0.632,0.051,11,0,2015-01-27
39,611,0.726,0.057,11,0,2015-01-27
39,612,2.333,0.176,11,0,2015-01-27
39,613,7.481,0.261,11,0,2015-01-27
