FoodID,NutrientNameId, NutrientValue, Standard Error, NumberOfObservations, NutrientSourceId, NutrientDateOfEntry, NutrientDateEnd
39,830,0.032,0.004,3,0,2009-07-02,2015-01-27
49,203,22.13,,0,0,1997-05-01,2013-02-13
49,204,31.2,,0,0,1997-05-01,2013-02-13
49,205,1.73,,0,0,1997-05-01,2013-02-13
49,207,5.84,,0,0,1997-05-01,2013-02-13
49,208,376,,0,0,2010-05-21,2013-02-13
49,221,0,,0,0,1997-05-01,2013-02-13
49,255,39.08,,0,0,1997-05-01,2013-02-13
49,262,0,,0,0,2004-04-02,2013-02-13
49,263,0,,0,0,2004-04-02,2013-02-13
49,268,"1,571",,0,0,2009-07-02,2013-02-13
49,269,0.62,,0,0,2010-03-22,2013-02-13
49,291,0.1,,0,0,2004-01-19,2013-02-13
49,301,614,,0,0,2002-12-03,2013-02-13
49,303,0.42,,0,0,1997-05-01,2013-02-13
49,304,22,,0,0,2002-12-03,2013-02-13
49,305,744,,0,0,2002-12-03,2013-02-13
49,306,162,,0,0,2002-12-03,2013-02-13
49,307,"1,428",,0,0,2002-12-03,2013-02-13
49,309,2.98,,0,0,1997-05-01,2013-02-13
49,312,0.033,,0,0,2009-07-02,2013-02-13
49,315,0.016,,0,0,2009-07-02,2013-02-13
49,317,14.5,,0,0,2001-02-21,2013-02-13
49,319,231,,0,0,2010-03-22,2013-02-13
49,321,150,,0,0,2010-03-22,2013-02-13
49,323,0.29,,0,0,2004-04-02,2013-02-13
49,324,22,,0,0,2010-03-25,2013-02-13
49,339,0.5,,0,0,2010-03-25,2013-02-13
49,401,2.3,,0,0,2002-12-03,2013-02-13
49,404,0.027,,0,0,2009-07-02,2013-02-13
49,405,0.354,,0,0,2009-07-02,2013-02-13
49,406,0.078,,0,0,2009-07-02,2013-02-13
49,409,5.46133,0,0,4,2009-07-24,2013-02-13
49,410,0.485,,0,0,2009-07-02,2013-02-13
49,415,0.071,,0,0,2009-07-02,2013-02-13
49,417,8,,0,0,2002-12-03,2013-02-13
49,418,0.7,,0,0,2002-12-03,2013-02-13
49,430,2.9,,0,0,2004-04-02,2013-02-13
49,431,0,,0,0,2002-08-22,2013-02-13
49,501,0.323,,0,0,2009-07-02,2013-02-13
49,502,0.718,,0,0,2009-07-02,2013-02-13
49,503,1.023,,0,0,2009-07-02,2013-02-13
49,504,1.956,,0,0,2009-07-02,2013-02-13
49,505,2.196,,0,0,2009-07-02,2013-02-13
49,506,0.572,,0,0,2009-07-02,2013-02-13
49,507,0.142,,0,0,2009-07-02,2013-02-13
49,508,1.124,,0,0,2009-07-02,2013-02-13
49,509,1.211,,0,0,2009-07-02,2013-02-13
