NutrientNameID,NutrientNameCode,NutrientSymbol,Unit,NutrientName,NutrientNameF,Tagname,NutrientDecimals,,
631,631,22:5n-3DPA,g,"FATTY ACIDS, POLYUNSATURATED, 22:5 n-3, DOCOSAPENTAENOIC (DPA)","ACIDES GRAS POLYINSATURÉS, 22:5 n-3, DOCOSAPENTAÉNOÏQUE",F22D5N3,3,,
339,328,D3+D2-µG,µg,VITAMIN D (D2 + D3),VITAMINE D (D2 + D3),VITD_ µG,1,,
827,689,20:3undiff,g,"FATTY ACIDS, POLYUNSATURATED, 20:3, EICOSATRIENOIC","ACIDES GRAS POLYINSATURÉS, 20:3, EÏCOSATRIÉNOÏQUE",F20D3,3,,
835,334,CRYPX,µg,BETA CRYPTOXANTHIN,BÊTA-CRYPTOZANTHINE,CRYPX,0,,
843,857,21:5,g,"FATTY ACIDS, POLYUNSATURATED, 21:5","ACIDES GRAS POLYINSATURÉS,  21:5",F21D5,3,,
853,669,"18:2t,t",g,"FATTY ACIDS, POLYUNSATURATED, 18:2t,t , OCTADECADIENENOIC","ACIDES GRAS POLYINSATURÉS, 18:2t,t , OCTADECADIÉNOÏQUE",F18D2TT,3,,
855,855,20:4n-6,g,"FATTY ACIDS, POLYUNSATURATED, 20:4 n-6, ARACHIDONIC","ACIDES GRAS POLYINSATURÉS, 20:4 n-6, ARACHIDONIQUE",F20D4N6,3,,
861,852,20:3n-3,g,"FATTY ACIDS, POLYUNSATURATED, 20:3 n-3 EICOSATRIENOIC","ACIDES GRAS POLYINSATURÉS, 20:3 n-3",F20D3N3,3,,
620,620,20:4undiff,g,"FATTY ACIDS, POLYUNSATURATED, 20:4, EICOSATETRAENOIC","ACIDES GRAS POLYINSATURÉS, 20:4, EÏCOSATÉTRAÉNOÏQUE",F20D4,3,,
629,629,20:5n-3EPA,g,"FATTY ACIDS, POLYUNSATURATED, 20:5 n-3, EICOSAPENTAENOIC (EPA)","ACIDES GRAS POLYINSATURÉS, 20:5 n-3, EÏCOSAPENTAÉNOÏQUE",F20D5N3,3,,
621,621,22:6n-3DHA,g,"FATTY ACIDS, POLYUNSATURATED, 22:6 n-3, DOCOSAHEXAENOIC (DHA)","ACIDES GRAS POLYINSATURÉS,  22:6 n-3, DOCOSAHEXAÉNOÏQUE",F22D6N3,3,,
