FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
688,750,36,2015-06-05
688,751,36,2015-06-05
689,750,32,2015-06-05
689,751,32,2015-06-05
690,750,43,2015-06-05
690,751,37,2015-06-05
690,752,6,2015-06-05
691,750,38,2015-06-05
691,751,32,2015-06-05
691,752,6,2015-06-05
832,750,44,2014-09-25
832,786,44,2014-09-25
833,750,47,2014-09-25
833,786,47,2014-09-25
834,750,48,2014-09-25
834,786,48,2014-09-25
835,750,71,2014-09-26
835,752,10,2014-09-26
835,758,17,2014-09-26
835,786,44,2014-09-26
836,750,60,2014-09-26
836,752,13,2014-09-26
836,786,47,2014-09-26
837,750,64,2014-09-26
837,752,16,2014-09-26
837,786,48,2014-09-26
838,750,20,2014-09-22
838,786,20,2014-09-22
839,750,19,2014-09-22
839,786,19,2014-09-22
840,750,18,2014-09-24
840,786,18,2014-09-24
841,750,0,2014-09-22
842,750,28,2014-09-22
842,752,9,2014-09-22
842,786,19,2014-09-22
843,750,30,2014-09-22
843,752,12,2014-09-22
843,786,18,2014-09-22
844,750,66,2014-09-22
844,1450,33,2014-09-22
845,750,61,2014-09-23
845,1450,28,2014-09-23
845,502433,33,2014-09-23
846,750,36,2014-09-23
846,786,36,2014-09-23
847,750,42,2014-09-23
847,759,9,2014-09-23
847,786,33,2014-09-23
848,750,40,2014-09-23
848,759,7,2014-09-23
848,502433,33,2014-09-23
849,750,48,2015-06-05
849,752,12,2015-06-05
849,786,36,2015-06-05
850,750,30,2014-09-24
850,1450,15,2014-09-24
850,502433,15,2014-09-24
851,750,33,2014-09-24
851,1450,16,2014-09-24
851,502433,17,2014-09-24
852,750,24,2014-09-24
852,786,24,2014-09-24
853,750,40,2014-09-24
853,752,25,2014-09-24
853,1450,15,2014-09-24
854,750,48,2014-09-24
854,759,15,2014-09-24
854,502433,17,2014-09-24
855,750,39,2014-09-24
855,752,15,2014-09-24
855,786,24,2014-09-24
1525,750,31,2014-01-29
1525,502507,31,2014-01-29
1578,750,22,2015-01-23
1578,752,22,2015-01-23
1585,750,24,2013-02-13
1585,752,24,2013-02-13
1603,750,29,2013-02-04
1603,807,29,2013-02-04
1623,750,26,2015-01-23
1623,816,26,2015-01-23
1628,750,38,2013-02-04
1628,807,38,2013-02-04
1683,750,31,2013-02-04
1683,807,31,2013-02-04
1691,750,40,2015-07-20
1691,830,40,2015-07-20
1692,750,43,2013-02-04
1692,752,43,2013-02-04
1696,750,10,2014-07-02
1696,808,10,2014-07-02
1731,750,10,2014-01-29
1731,502506,10,2014-01-29
1905,750,35,2013-02-13
1905,751,21,2013-02-13
1906,750,39,2013-02-13
1906,751,24,2013-02-13
1921,750,16,2013-02-13
1921,781,16,2013-02-13
2219,750,5,2013-02-13
2451,750,31,2014-12-16
2451,1287,31,2014-12-16
3656,750,20,2015-06-05
3656,751,20,2015-06-05
3657,750,30,2015-06-05
3657,751,30,2015-06-05
3658,750,36,2015-06-05
3658,751,20,2015-06-05
3658,936,5,2015-06-05
3658,937,11,2015-06-05
3659,750,43,2015-06-05
3659,751,29,2015-06-05
3659,936,5,2015-06-05
3659,937,8,2015-06-05
3660,750,9,2015-06-05
3660,751,9,2015-06-05
3661,750,9,2015-06-05
3661,751,9,2015-06-05
3662,750,13,2015-06-05
3662,751,9,2015-06-05
3662,936,1,2015-06-05
3662,937,3,2015-06-05
3663,750,14,2015-06-05
3663,751,9,2015-06-05
3663,936,1,2015-06-05
3663,937,3,2015-06-05
5203,750,31,2015-06-05
5203,751,31,2015-06-05
5204,750,39,2015-06-05
5204,751,39,2015-06-05
5205,750,23,2015-06-05
5205,751,23,2015-06-05
5206,750,26,2015-06-05
5206,751,26,2015-06-05
5207,750,32,2015-06-05
5207,751,32,2015-06-05
5211,750,42,2015-06-05
5211,751,24,2015-06-05
5211,936,7,2015-06-05
5211,937,11,2015-06-05
5214,750,36,2015-06-05
5214,751,26,2015-06-05
5214,936,3,2015-06-05
5214,937,7,2015-06-05
5215,750,9,2015-06-05
5216,750,41,2015-06-05
5216,751,32,2015-06-05
5216,936,3,2015-06-05
5216,937,6,2015-06-05
5217,750,13,2015-06-05
5218,750,9,2015-06-05
5219,750,17,2015-06-05
5221,750,39,2015-06-05
5221,751,31,2015-06-05
5221,936,4,2015-06-05
5221,937,4,2015-06-05
5222,750,48,2015-06-05
5222,751,38,2015-06-05
5222,936,5,2015-06-05
5223,750,15,2015-06-05
5224,750,14,2015-06-05
5225,750,20,2015-06-05
5226,750,19,2015-06-05
5401,750,8,2014-01-09
5403,750,42,2014-07-02
5403,809,8,2014-07-02
5403,834,13,2014-07-02
5403,835,22,2014-07-02
5404,750,49,2014-07-02
5404,809,8,2014-07-02
5404,834,16,2014-07-02
5404,835,26,2014-07-02
5943,750,6,2015-06-05
5944,750,6,2015-06-05
5945,750,9,2015-06-05
5946,750,9,2015-06-05
5948,750,8,2015-06-05
5949,750,8,2015-06-05
5950,750,15,2015-06-05
5952,750,16,2015-06-05
5955,750,22,2015-06-05
6212,750,22,2014-01-09
6212,751,22,2014-01-09
502023,750,41,2014-01-13
502025,750,46.5,2014-01-13
502025,502433,22,2014-01-13
