FoodID,YieldID,YieldAmount,YieldDateOfEntry
832,686,65,2014-09-25
833,686,35,2014-09-25
834,686,40,2014-09-25
835,686,34,2014-09-26
836,686,26,2014-09-26
837,686,29,2014-09-26
838,686,96,2014-09-22
839,686,64,2014-09-22
840,686,73,2014-09-24
842,686,57,2014-09-22
843,686,63,2014-09-22
845,686,116,2014-09-23
846,686,37,2014-09-23
852,686,45,2014-09-24
855,686,36,2014-09-24
924,985,138,2015-03-17
929,985,130,2014-12-01
930,985,133,2015-03-20
931,985,134,2014-12-01
933,985,136,2015-03-20
936,985,134,2015-03-20
938,985,136,2014-12-02
944,985,132,2014-12-01
964,985,136,2014-12-02
1121,985,139,2014-12-02
1572,460,196,2015-10-09
1619,461,86,2013-12-20
3659,683,42,2015-06-05
5339,985,132,2014-12-02
5347,985,39,2014-06-02
5350,985,1,2015-03-19
5855,921,19,2011-05-05
5856,921,19,2011-05-05
