FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,YieldValue,YieldDateOfEntry,YieldDateEnd
825,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",143,1-May-97 8:00:00 AM,2-Jul-14 10:04:04 AM
826,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",118,1-May-97 8:00:00 AM,3-Jul-14 8:44:05 AM
826,1642,100g raw with bones (yield after cooking bone removed),"100g cru avec os (rendement après cuisson, désossé)",49,2-Nov-06 9:11:39 AM,3-Jul-14 8:44:05 AM
827,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",117,1-May-97 8:00:00 AM,3-Jul-14 8:44:20 AM
827,1642,100g raw with bones (yield after cooking bone removed),"100g cru avec os (rendement après cuisson, désossé)",53,2-Nov-06 9:13:58 AM,3-Jul-14 8:44:20 AM
828,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",104,1-May-97 8:00:00 AM,3-Jul-14 8:44:44 AM
829,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",92,1-May-97 8:00:00 AM,3-Jul-14 8:45:06 AM
829,1643,100g raw skinless with bones (yield after cooking bone removed),"100g cru, sans peau, avec os (rendement après cuisson, désossé)",46,1-Nov-06 1:32:50 PM,3-Jul-14 8:45:07 AM
830,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",90,1-May-97 8:00:00 AM,3-Jul-14 8:45:26 AM
830,1644,100g raw skinless boneless (yield after cooking),"100g cru, sans peau, désossé (rendement après cuisson)",49,1-Nov-06 1:10:48 PM,3-Jul-14 8:45:26 AM
831,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",32,1-May-97 8:00:00 AM,26-Sep-14 9:45:29 AM
841,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",102,1-May-97 8:00:00 AM,22-Sep-14 10:33:04 AM
844,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",50,1-May-97 8:00:00 AM,22-Sep-14 3:01:58 PM
847,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",41,1-May-97 8:00:00 AM,23-Sep-14 10:23:03 AM
848,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",33,1-May-97 8:00:00 AM,23-Sep-14 9:55:00 AM
850,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",59,1-May-97 8:00:00 AM,24-Sep-14 9:41:12 AM
851,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",50,1-May-97 8:00:00 AM,24-Sep-14 10:22:09 AM
853,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",44,1-May-97 8:00:00 AM,24-Sep-14 1:25:23 PM
854,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",38,1-May-97 8:00:00 AM,24-Sep-14 2:00:10 PM
888,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",112,1-May-97 8:00:00 AM,26-Jun-14 10:54:40 AM
889,682,100g raw boneless,"100g cru, désossé",67,31-Oct-06 4:15:24 PM,26-Jun-14 10:54:54 AM
889,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",76,1-May-97 8:00:00 AM,26-Jun-14 10:54:54 AM
890,682,100g raw boneless,"100g cru, désossé",67,1-Nov-06 9:11:48 AM,26-Jun-14 10:55:17 AM
890,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",54,1-May-97 8:00:00 AM,26-Jun-14 10:55:16 AM
891,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",96,1-May-97 8:00:00 AM,26-Jun-14 10:55:35 AM
892,682,100g raw boneless,"100g cru, désossé",67,1-Nov-06 1:41:19 PM,26-Jun-14 10:55:47 AM
892,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",65,1-May-97 8:00:00 AM,26-Jun-14 10:55:47 AM
893,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",42,1-May-97 8:00:00 AM,26-Jun-14 10:55:57 AM
893,1644,100g raw skinless boneless (yield after cooking),"100g cru, sans peau, désossé (rendement après cuisson)",74,1-Nov-06 1:25:12 PM,26-Jun-14 10:55:58 AM
894,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",135,1-May-97 8:00:00 AM,26-Jun-14 10:56:19 AM
895,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",99,1-May-97 8:00:00 AM,26-Jun-14 10:56:30 AM
895,1642,100g raw with bones (yield after cooking bone removed),"100g cru avec os (rendement après cuisson, désossé)",49,2-Nov-06 11:03:50 AM,26-Jun-14 10:56:30 AM
896,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",113,1-May-97 8:00:00 AM,26-Jun-14 10:56:39 AM
